host_response_time,host_response_rate,host_neighbourhood,host_listings_count,neighbourhood,city,state,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,security_deposit,cleaning_fee,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,reviews_per_month,price
,,Copacabana,1.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22050-032,-22.97586,-43.1906,Apartment,Entire home/apt,6,1.0,2.0,3.0,Real Bed,$400.00,$150.00,$0.00,7,1125,1,100.0,0.05,301.0
within a day,100%,,1.0,Flamengo,Flamengo,Rio de Janeiro,22230-061,-22.93678,-43.176809999999996,Apartment,Private room,1,2.0,1.0,2.0,Real Bed,,,$0.00,10,30,2,100.0,0.12,499.0
within a day,75%,Ipanema,1.0,Ipanema,Rio de Janeiro,Rio de Janeiro,22071-110,-22.98453,-43.19605,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,"$1,000.00",$100.00,$0.00,7,90,25,91.0,0.77,181.0
,,,2.0,Laranjeiras,Rio de Janeiro,Rio de Janeiro,22241,-22.93522,-43.19316,House,Private room,2,1.0,1.0,2.0,Real Bed,$390.00,$65.00,$0.00,2,1125,4,100.0,0.09,116.0
within an hour,100%,Copacabana,2.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22050-002,-22.968120000000003,-43.18258,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,$450.00,$150.00,$35.00,4,24,29,97.0,0.83,151.0
,,Rio Comprido,1.0,Rio Comprido,Rio de Janeiro,Rio de Janeiro,20261-243,-22.92899,-43.20858,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,$500.00,$150.00,$60.00,1,1125,1,100.0,0.03,101.0
within an hour,100%,Ipanema,10.0,Ipanema,Rio de Janeiro,RJ,22411-050,-22.98035,-43.20122,Apartment,Entire home/apt,6,2.0,3.0,5.0,Real Bed,"$2,000.00",,$0.00,4,30,45,96.0,1.65,328.0
within an hour,100%,Ipanema,2.0,Ipanema,Ipanema,Rio de Janeiro,22080-060,-22.986539999999998,-43.19448,Loft,Entire home/apt,4,1.0,1.0,2.0,Real Bed,"$1,000.00",$165.00,$60.00,3,90,30,79.0,0.48,151.0
within an hour,100%,,1.0,Barra da Tijuca,Barra da Tijuca,Rio de Janeiro,22793,-22.98178,-43.384859999999996,Condominium,Entire home/apt,8,4.0,4.0,8.0,Real Bed,"$1,000.00",$200.00,$0.00,2,1125,3,100.0,0.14,799.0
within an hour,100%,,3.0,Barra da Tijuca,Curicica,Rio de Janeiro,22780-590,-22.97605,-43.417390000000005,Condominium,Entire home/apt,2,2.0,1.0,4.0,Real Bed,$500.00,$100.00,$75.00,2,1125,6,96.0,0.26,96.0
,,Tijuca,1.0,Tijuca,Rio,Rio de Janeiro,20521-060,-22.931810000000002,-43.234809999999996,Apartment,Private room,4,1.0,1.0,1.0,Real Bed,,$30.00,$150.00,2,30,1,100.0,0.03,181.0
within a few hours,100%,Glória,2.0,Glória,Rio de Janeiro,Rio de Janeiro,22210-010,-22.92323,-43.17261,Apartment,Private room,6,2.0,1.0,5.0,Real Bed,"$1,200.00",$120.00,$0.00,2,1125,4,95.0,0.08,220.0
within a day,80%,Laranjeiras,1.0,Laranjeiras,Laranjeiras,Rio de Janeiro,22240-005,-22.939320000000002,-43.18997,Condominium,Entire home/apt,4,2.0,2.0,2.0,Real Bed,$600.00,$50.00,$100.00,2,15,4,100.0,0.71,220.0
,,Santa Teresa,1.0,Santa Teresa,Rio,Rio de Janeiro,20240,-22.92049,-43.18877,Apartment,Entire home/apt,4,2.0,1.0,3.0,Real Bed,$965.00,$251.00,$135.00,3,1125,10,91.0,0.15,579.0
,,Botafogo,1.0,Botafogo,Rio de Janeiro,Rio de Janeiro,22290-030,-22.95443,-43.18144,Villa,Entire home/apt,5,1.0,2.0,4.0,Real Bed,,$100.00,$0.00,3,1125,7,93.0,0.2,351.0
within an hour,100%,Copacabana,1.0,Copacabana,Copacabana,Rio de Janeiro,22031-072,-22.96895,-43.18524,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,$0.00,$150.00,$0.00,2,14,30,100.0,2.58,100.0
